iter	dir	throughput_mbps	retransmits	cpu_local_pct	cpu_remote_pct	mcs	nss	width_mhz	bssid	ts
1	TCP-P8-UL	1518.05	0	2.1	17.7	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:11:45-07:00
2	TCP-P8-UL	1454.18	0	2.1	17.6	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:12:20-07:00
3	TCP-P8-UL	1447.76	1672	2.1	16.6	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:12:55-07:00
4	TCP-P8-UL	1441.09	376	2.1	17.0	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:13:30-07:00
5	TCP-P8-UL	1446.17	0	2.0	17.3	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:14:05-07:00
6	TCP-P8-UL	1455.81	371	2.1	17.1	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:14:40-07:00
7	TCP-P8-UL	1442.70	1989	2.1	17.2	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:15:15-07:00
8	TCP-P8-UL	1460.12	1145	2.1	17.1	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:15:51-07:00
9	TCP-P8-UL	1288.13	24	2.0	15.7	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:16:26-07:00
10	TCP-P8-UL	1449.30	566	2.1	16.5	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:17:01-07:00
1	TCP-P8-DL	483.11	0	9.5	1.5	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:17:36-07:00
2	TCP-P8-DL	508.38	0	9.6	1.7	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:18:11-07:00
3	TCP-P8-DL	612.11	0	10.8	1.9	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:18:47-07:00
4	TCP-P8-DL	594.50	0	11.2	1.7	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:19:22-07:00
5	TCP-P8-DL	459.71	0	8.6	1.5	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:19:58-07:00
6	TCP-P8-DL	379.30	0	7.5	1.3	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:20:33-07:00
7	TCP-P8-DL	660.93	0	10.4	2.0	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:21:09-07:00
8	TCP-P8-DL	425.32	0	8.2	1.4	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:21:44-07:00
9	TCP-P8-DL	549.78	0	10.4	2.0	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:22:19-07:00
10	TCP-P8-DL	423.29	0	7.9	1.5	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:22:54-07:00
1	TCP-P1-UL	1414.07	229	4.1	5.5	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:23:30-07:00
2	TCP-P1-UL	1415.79	0	4.4	5.3	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:24:05-07:00
3	TCP-P1-UL	1401.06	776	4.0	5.6	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:24:40-07:00
4	TCP-P1-UL	1379.87	0	4.1	5.0	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:25:15-07:00
5	TCP-P1-UL	1328.55	133	3.8	4.2	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:25:50-07:00
6	TCP-P1-UL	1172.36	3	3.2	4.3	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:26:25-07:00
7	TCP-P1-UL	1421.74	0	4.2	4.9	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:27:00-07:00
8	TCP-P1-UL	1396.43	617	3.8	4.8	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:27:35-07:00
9	TCP-P1-UL	1410.28	0	4.4	4.6	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:28:10-07:00
10	TCP-P1-UL	1365.00	0	4.1	4.1	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:28:45-07:00
1	TCP-P1-DL	784.83	0	2.1	2.3	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:29:20-07:00
2	TCP-P1-DL	666.66	0	1.6	2.0	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:29:56-07:00
3	TCP-P1-DL	568.97	0	2.4	1.6	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:30:31-07:00
4	TCP-P1-DL	692.98	0	3.3	1.8	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:31:06-07:00
5	TCP-P1-DL	373.56	0	2.2	1.1	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:31:41-07:00
6	TCP-P1-DL	600.20	0	2.2	1.7	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:32:16-07:00
7	TCP-P1-DL	526.22	0	3.2	1.6	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:32:51-07:00
8	TCP-P1-DL	566.66	0	3.3	1.8	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:33:26-07:00
9	TCP-P1-DL	489.35	0	2.7	1.5	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:34:02-07:00
10	TCP-P1-DL	413.93	0	2.2	1.2	na	na	160	0a:27:a8:63:20:92	2026-05-06T19:34:37-07:00
