adapter	vid_pid	chip	host	config	plug	date	usb_speed	bus	band_mhz	chan_width	signal_dbm	phy_tx_mbps	phy_rx_mbps	iperf3_uplink_mbps	iperf3_downlink_mbps	uplink_retr	notes
alfa-awus036axml	0e8d:7961	mt7921au	framework13	control	1	2026-04-11	5000	2	5975	80	-33	1200.9	907.4	748	651	0	Control run, driver-agnostic vs rtw89, first-plug SuperSpeed no retries
brostrend-be6500	0bda:8912	rtl8922au	framework13	B-morrownr	1	2026-04-11	5000	2	5975+5500+2412	160	n/a	2882.3	2449.5	1630	398	0	Wi-Fi 7 MLO tri-band, uplink 2x Alfa, downlink anomaly worth investigating
