iter	dir	throughput_mbps	retransmits	cpu_local_pct	cpu_remote_pct	mcs	nss	width_mhz	bssid	ts
1	TCP-P8-UL	615.86	432	0.9	11.0	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:04:53-07:00
2	TCP-P8-UL	616.78	2	0.9	11.5	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:05:28-07:00
3	TCP-P8-UL	614.08	7	1.0	11.7	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:06:03-07:00
4	TCP-P8-UL	614.43	6	0.9	11.4	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:06:38-07:00
5	TCP-P8-UL	616.83	0	0.9	11.1	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:07:13-07:00
6	TCP-P8-UL	614.60	244	0.9	11.9	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:07:49-07:00
7	TCP-P8-UL	615.31	4	0.9	12.1	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:08:24-07:00
8	TCP-P8-UL	609.08	233	0.8	11.7	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:08:59-07:00
9	TCP-P8-UL	555.24	17	0.8	10.6	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:09:34-07:00
10	TCP-P8-UL	612.54	1	0.9	11.7	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:10:09-07:00
1	TCP-P8-DL	828.59	0	11.3	2.5	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:10:44-07:00
2	TCP-P8-DL	868.02	0	11.4	2.5	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:11:19-07:00
3	TCP-P8-DL	854.11	0	11.1	2.4	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:11:55-07:00
4	TCP-P8-DL	851.83	0	12.0	2.9	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:12:30-07:00
5	TCP-P8-DL	840.39	0	12.2	2.8	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:13:05-07:00
6	TCP-P8-DL	849.86	0	10.3	2.6	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:13:41-07:00
7	TCP-P8-DL	856.75	0	11.9	2.4	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:14:16-07:00
8	TCP-P8-DL	772.49	0	10.1	2.3	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:14:51-07:00
9	TCP-P8-DL	862.55	0	11.1	2.4	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:15:26-07:00
10	TCP-P8-DL	846.87	0	11.9	2.4	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:16:02-07:00
1	TCP-P1-UL	550.51	3	1.1	2.6	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:16:37-07:00
2	TCP-P1-UL	567.22	0	1.1	3.1	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:17:12-07:00
3	TCP-P1-UL	533.77	455	1.2	2.6	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:17:47-07:00
4	TCP-P1-UL	549.11	3	1.3	2.3	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:18:22-07:00
5	TCP-P1-UL	531.39	166	0.9	2.3	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:18:57-07:00
6	TCP-P1-UL	463.57	125	1.2	2.4	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:19:33-07:00
7	TCP-P1-UL	519.94	8	1.2	2.5	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:20:08-07:00
8	TCP-P1-UL	534.97	3	1.1	2.7	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:20:43-07:00
9	TCP-P1-UL	538.21	13	1.2	3.2	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:21:18-07:00
10	TCP-P1-UL	525.97	604	1.1	2.3	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:21:53-07:00
1	TCP-P1-DL	773.04	0	5.4	2.5	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:22:28-07:00
2	TCP-P1-DL	762.60	0	6.1	2.5	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:23:03-07:00
3	TCP-P1-DL	760.08	0	5.6	2.4	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:23:38-07:00
4	TCP-P1-DL	783.85	0	5.2	2.5	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:24:13-07:00
5	TCP-P1-DL	723.54	0	4.4	2.4	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:24:48-07:00
6	TCP-P1-DL	772.98	0	5.7	2.6	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:25:24-07:00
7	TCP-P1-DL	789.76	0	6.2	2.3	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:25:59-07:00
8	TCP-P1-DL	777.60	0	5.5	2.5	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:26:34-07:00
9	TCP-P1-DL	722.56	0	5.4	2.3	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:27:09-07:00
10	TCP-P1-DL	678.06	0	5.1	2.2	na	na	80	a2:27:a8:63:20:80	2026-05-06T20:27:44-07:00
